Date,Open,High,Low,Close,Volume,Market Cap
Apr-03-2023,27807.768335500114,28405.3989,27695.2783,28149.6814,41025798293.333336,542770865100.3405
Apr-02-2023,28170.7772,28427.7346,27405.981206254983,27761.458669183034,36019258148.57143,540997156325.6436
Apr-01-2023,28452.740206963586,28515.9436,27879.0548,28188.1801,26115369180.444443,546545395523.19824
Mar-31-2023,28467.8828500776,28789.4078,28305.2465,28464.81401778217,36557108999.111115,549874502571.9329
Mar-30-2023,28028.484127682656,28614.0378,27663.050387226478,28467.19662927388,45077223850.666664,545063208146.84485
Mar-29-2023,28348.5437,29156.3807,27774.748,28031.595199453346,46258179086.22222,548528340131.34265
Mar-28-2023,27266.6718,28586.0011,27252.7029,28370.7692,42482154097.77778,542795846137.70844
Mar-27-2023,27131.2072,27446.1624,26676.950298423308,27259.2207,43061233763.55556,522329667012.41864
Mar-26-2023,27970.498834865924,28016.6155,26698.4797,27157.5701,34642356202.666664,532354929071.1274
Mar-25-2023,27493.601,28139.207976564172,27430.9137,27983.589033995435,27111362645.732315,536640423785.79987
Mar-24-2023,27450.907021672097,27747.3921,27183.6656,27464.6126,42315985685.333336,531265909343.4554
Mar-23-2023,28296.5687,28356.28282089058,27110.4536,27415.93409438389,48378495416.888885,540177679625.8728
Mar-22-2023,27261.752808661684,28619.4139,27156.7906,28318.2186,59835056099.55556,536320017584.85895
Mar-21-2023,28123.81235395727,28706.6413,26718.214,27273.8081,62381365930.666664,541375093964.32056
Mar-20-2023,27723.8116,28399.7677,27344.4061,28119.54921069888,75753121152,539483596256.54565
Mar-19-2023,27960.5165,28431.5567,27167.994970120253,27688.0737,81159326336,537935367894.1301
Mar-18-2023,26900.870700185806,28330.038133013903,26849.0627,27911.812,59951376540.44444,529721115709.3737
Mar-17-2023,27388.766,27635.6631,26820.13701631196,26891.627969119265,87183454008.88889,527950364349.3941
Mar-16-2023,24998.6655,27710.0166,24899.2568,27310.1766,84113368149.33333,507748170236.36664
Mar-15-2023,24286.700218188595,25107.0673,24182.3388,25011.182,92591547937.89548,476135191318.01117
Mar-14-2023,24694.4961,25026.9871,23970.297205326577,24276.665892428617,97610468465.77777,475086379194.3967
Mar-13-2023,24110.2102,26263.9676,24013.123024673885,24694.6951,94466753002.3662,478478193602.1087
Mar-12-2023,21996.35382169965,24342.77464288782,21828.193617223475,24063.5624469319,81743296619.78947,443502290103.11084
